session,side,rng_pips,sweep_m,depth_pips,reclaim_min,entry_px,spread_pips,fade_outcome,fade_r,fade_minutes,fade_rr,cont_bps_60,cont_bps_120,symbol,mode,window,reclaimed,sweep_hour
2023-04-10,1,77.00000000000387,600,68.54999999999905,,,,,,,,-28.423985499648524,-29.80960798118733,USDJPY,lagged,A00-07/obs16,False,7
2023-04-11,1,53.80000000000109,600,212.54999999999882,,,,,,,,11.594810013427624,11.557407400479843,USDJPY,lagged,A00-07/obs16,False,7
2023-04-12,1,71.60000000000082,600,189.8499999999956,,,,,,,,-7.924704044226456,2.666606574125142,USDJPY,lagged,A00-07/obs16,False,7
2023-04-13,1,37.999999999999545,600,181.70000000000073,,,,,,,,-24.108931623448292,-3.772915747019311,USDJPY,lagged,A00-07/obs16,False,7
2023-04-16,1,71.25000000000057,600,177.45000000000175,,,,,,,,3.6570985028312677,-0.7090293015690243,USDJPY,lagged,A00-07/obs16,False,7
2023-04-17,1,46.4999999999975,600,74.10000000000423,,,,,,,,-11.311501639052603,-15.367270318843355,USDJPY,lagged,A00-07/obs16,False,7
2023-04-18,1,48.65000000000066,600,109.00000000000034,,,,,,,,10.55005145007455,21.805916201386705,USDJPY,lagged,A00-07/obs16,False,7
2023-04-19,1,39.299999999997226,600,148.79999999999995,,,,,,,,5.83504296375729,11.595754170012036,USDJPY,lagged,A00-07/obs16,False,7
2023-04-20,1,37.34999999999786,600,185.1500000000044,,,,,,,,0.3361093475749543,-8.776188519999016,USDJPY,lagged,A00-07/obs16,False,7
2023-04-23,1,50.39999999999907,611,0.40000000000190994,1.0,134.20850000000002,0.6004950495049897,SL,-1.0,3.0,11.809523809523585,4.768397445928711,5.438953336763296,USDJPY,lagged,A00-07/obs16,True,7
2023-04-24,-1,45.949999999999136,608,0.6500000000016826,0.0,134.25,0.6207031249997774,SL,-1.0,1.0,11.717948717943841,16.089145785538253,9.199118076453761,USDJPY,lagged,A00-07/obs16,True,7
2023-04-25,-1,78.449999999998,600,93.75,,,,,,,,15.823731856952662,9.651354182254906,USDJPY,lagged,A00-07/obs16,False,7
2023-04-26,-1,58.70000000000459,600,117.14999999999804,,,,,,,,-3.8129843331193367,-9.15863883935552,USDJPY,lagged,A00-07/obs16,False,7
2023-04-27,1,55.400000000000205,600,230.79999999999927,,,,,,,,2.0273508054135303,2.469681890228438,USDJPY,lagged,A00-07/obs16,False,7
2023-04-30,1,58.500000000000796,600,293.39999999999975,,,,,,,,-7.269804738161693,-4.639523626867824,USDJPY,lagged,A00-07/obs16,False,7
2023-05-01,1,47.500000000002274,600,324.8500000000007,,,,,,,,2.8355181364093083,-0.1817639831030548,USDJPY,lagged,A00-07/obs16,False,7
2023-05-02,1,35.05000000000109,600,220.75000000000387,,,,,,,,-3.2759610712781204,-10.748096997895654,USDJPY,lagged,A00-07/obs16,False,7
