cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
GBPNZD,192,1.5,2.0,0.531,0.304,1.146,78,67.9,29.18,1.63,6/7
GBPNZD,192,1.5,3.0,0.531,0.304,1.146,78,67.9,29.18,1.63,6/7
GBPNZD,192,2.0,1.0,0.182,0.168,0.27,53,58.5,12.98,0.55,5/7
GBPNZD,192,2.0,2.0,0.143,0.114,0.27,51,56.9,10.62,0.43,4/7
GBPNZD,192,2.0,3.0,0.143,0.114,0.27,51,56.9,10.62,0.43,4/7
GBPCHF,12,1.5,1.0,0.235,0.125,0.431,524,64.1,1.89,0.74,5/7
GBPCHF,12,1.5,2.0,0.255,0.228,0.311,483,64.4,2.12,0.77,5/7
GBPCHF,12,1.5,3.0,0.235,0.154,0.405,478,64.2,1.97,0.71,5/7
GBPCHF,12,2.0,1.0,0.429,0.666,0.037,190,68.9,5.67,1.31,4/7
GBPCHF,12,2.0,2.0,0.484,0.886,-0.133,184,69.0,6.36,1.48,5/7
GBPCHF,12,2.0,3.0,0.522,0.863,-0.033,184,69.0,6.81,1.6,5/7
GBPCHF,24,1.5,1.0,-0.026,0.034,-0.159,364,65.1,-0.34,-0.08,3/7
GBPCHF,24,1.5,2.0,-0.03,0.037,-0.192,326,65.6,-0.44,-0.09,3/7
GBPCHF,24,1.5,3.0,-0.022,0.072,-0.212,323,65.6,-0.28,-0.07,3/7
GBPCHF,24,2.0,1.0,0.241,0.278,0.169,218,67.4,4.48,0.75,5/7
GBPCHF,24,2.0,2.0,0.204,0.206,0.216,205,68.8,4.3,0.63,5/7
GBPCHF,24,2.0,3.0,0.231,0.255,0.187,203,69.0,4.27,0.72,4/7
GBPCHF,24,2.5,1.0,-0.265,-0.253,-0.284,87,59.8,-6.55,-0.8,2/7
GBPCHF,24,2.5,2.0,-0.222,-0.264,-0.153,85,62.4,-5.9,-0.67,2/7
GBPCHF,24,2.5,3.0,-0.213,-0.233,-0.184,85,62.4,-5.56,-0.64,2/7
GBPCHF,48,1.5,1.0,0.104,0.3,-0.221,226,67.3,2.03,0.32,4/7
GBPCHF,48,1.5,2.0,-0.009,0.142,-0.316,207,66.2,-0.19,-0.03,4/7
GBPCHF,48,1.5,3.0,0.036,0.212,-0.316,206,66.5,0.8,0.11,4/7
GBPCHF,48,2.0,1.0,-0.103,0.092,-0.413,149,60.4,-2.63,-0.31,3/7
GBPCHF,48,2.0,2.0,-0.002,0.133,-0.281,141,61.0,-0.05,-0.01,3/7
GBPCHF,48,2.0,3.0,-0.001,0.135,-0.281,141,61.0,-0.01,-0.0,3/7
